Date,Easy,Medium,Hard
09/10/21,"0,7,0,0,6,0,9,5,8,9,6,2,0,0,8,0,0,1,0,8,0,4,1,9,0,6,0,6,4,0,0,8,1,7,3,0,3,0,0,9,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,5,8,0,0,6,9,3,0,0,4,6,0,2,0,0,0,7,0,0,0,9,0,8,0,0","3,0,0,9,6,0,0,0,0,0,0,0,0,0,4,1,0,8,0,4,5,0,0,0,0,0,9,8,0,0,0,0,5,0,0,0,0,0,0,4,3,0,5,0,0,4,0,0,2,9,0,0,0,1,0,0,6,5,0,7,0,0,0,0,2,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,2","0,0,0,0,4,0,3,0,0,0,9,0,5,0,0,0,6,0,7,0,0,0,8,0,5,0,0,0,6,8,0,0,0,0,7,0,3,0,0,0,0,0,0,0,9,2,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5,6,0,0,1,4,2"
10/10/21,"0,6,8,2,3,0,0,4,0,0,4,0,0,5,0,6,3,9,3,9,5,0,4,0,0,0,8,5,0,0,1,0,7,0,2,3,1,7,0,0,0,3,0,8,0,9,0,3,0,0,0,0,5,1,8,0,9,0,0,2,3,0,0,0,0,2,9,7,0,8,0,0,0,0,0,0,0,6,5,0,0","0,0,0,0,5,0,0,0,0,6,0,0,0,0,1,3,0,8,5,0,0,7,0,8,0,0,2,8,0,0,9,0,4,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,8,0,0,0,2,0,6,0,0,4,0,9","0,1,0,0,0,0,4,9,0,0,6,0,7,0,0,5,8,1,0,5,0,8,0,0,0,0,0,7,0,0,2,0,3,0,0,0,6,9,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,7,6,0,7,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0"
11/10/21,"4,8,0,6,0,0,9,1,0,0,0,0,5,0,4,2,0,8,2,1,7,0,0,0,6,0,0,7,2,1,4,0,0,0,0,6,0,4,3,0,8,6,0,2,7,0,0,0,0,3,2,0,9,0,6,3,8,0,4,0,0,0,0,0,0,0,0,7,3,8,0,1,0,0,0,8,6,0,0,3,0","6,0,0,0,0,0,4,0,9,7,0,1,0,0,4,0,0,0,4,0,8,0,7,0,0,0,6,0,0,0,5,3,0,8,0,0,0,6,0,2,0,0,3,0,0,0,0,9,0,4,0,0,5,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1","0,2,0,0,0,0,0,0,5,0,0,4,0,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,2,0,9,0,0,4,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,8,0,5,6,0,0,0,0,1,0,0,0,0,3,0,0,7,0,2,9,0,0,8,0,0,0,0,0"
12/10/21,"7,3,0,6,0,5,0,0,0,0,0,6,0,0,1,9,3,0,9,0,0,0,0,7,6,0,4,4,0,0,1,6,0,0,9,8,0,6,8,0,0,0,0,4,3,1,0,0,5,4,8,0,0,6,0,0,5,3,0,0,2,8,0,0,2,9,0,5,0,0,0,0,0,4,0,9,1,0,3,6,0","8,0,0,0,0,9,0,0,0,0,4,0,0,6,8,0,0,9,0,6,3,0,0,0,0,2,0,0,0,7,5,0,0,2,9,4,0,0,9,0,1,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,6,0,0,0,8,0,4,0,1","3,9,8,0,0,0,0,1,0,0,0,1,0,0,3,4,0,5,7,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,8,5,3,0,9,6,0,0,0,0,0,1,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,8,7,0,0,3"
13/10/21,"0,0,8,0,3,1,7,0,4,0,4,3,0,6,2,0,0,9,5,1,0,4,0,0,0,0,8,4,0,7,3,8,0,9,0,2,0,2,0,6,0,0,0,8,0,0,0,1,0,9,0,3,4,0,0,7,0,0,0,6,8,2,0,1,3,0,7,4,0,0,0,0,6,0,0,9,0,3,0,0,0","0,7,2,5,0,0,4,0,0,0,0,0,8,0,0,0,5,0,9,0,0,0,3,4,0,0,0,0,1,3,0,8,0,0,6,0,0,5,0,1,0,0,9,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,9,3,7,0,0","0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,6,0,0,8,4,0,9,0,0,7,0,5,0,0,0,0,0,3,0,4,6,6,0,0,0,0,7,0,9,2,0,5,0,0,0,8,0,0,0,9,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,3,4,1,0,0,0,0,0,0,8"
14/10/21,"9,0,5,0,3,7,4,0,0,0,4,0,0,2,0,3,0,8,6,3,2,1,8,0,7,0,0,1,5,9,3,6,0,0,0,0,0,0,4,0,0,9,0,0,2,0,0,0,0,0,8,0,1,6,0,9,6,2,4,3,0,0,0,4,0,7,0,0,0,6,5,0,0,0,0,5,0,0,0,4,9","0,7,0,0,0,0,0,1,8,0,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,9,0,0,0,3,4,0,0,0,4,0,2,7,0,0,0,0,5,0,0,6,0,0,0,8,0,0,0,0,0,0,0,2,0,0,9,0,5,8,0,0,0,0,0,4,1,0,0,4,0,6,0,0,0","0,0,0,0,9,0,0,4,0,5,0,0,0,0,0,6,0,0,0,0,0,1,2,6,0,0,0,7,1,0,0,4,0,0,0,3,0,4,3,2,0,0,1,0,0,8,0,0,0,0,0,2,9,0,0,0,5,0,7,0,0,0,9,4,7,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0"
15/10/21,"9,1,0,5,7,0,0,0,6,4,0,6,0,0,3,0,7,9,0,2,0,9,0,0,3,0,8,0,6,4,2,1,0,0,0,5,0,0,0,0,8,0,2,6,4,2,7,0,0,0,4,9,0,0,7,0,0,8,9,0,0,5,0,3,0,1,0,6,7,0,0,0,0,9,0,0,0,0,1,4,0","3,6,0,0,0,0,7,0,5,0,0,0,5,0,3,0,1,0,0,0,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,3,0,0,5,0,4,0,0,0,0,0,0,7,3,6,8,0,5,0,0,0,1,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0","0,0,0,0,0,0,7,0,0,1,0,7,0,3,0,5,2,0,9,0,0,0,4,0,0,6,0,0,0,6,5,0,0,0,0,0,0,0,3,4,2,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,5,3,0,5,0,1,6,0,7,0"
16/10/21,"1,0,0,0,0,2,9,4,0,6,5,2,0,4,0,1,0,0,0,0,0,3,1,5,7,0,0,0,0,0,9,2,1,4,8,0,0,1,4,8,0,0,0,9,2,0,9,0,4,3,0,0,5,0,5,4,1,0,6,3,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,1,0,4,5,0,3","0,0,5,0,6,2,1,9,0,0,1,6,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,1,0,0,0,0,1,0,9,3,0,2,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,7,0,0,0,6,9,0,0,0,0,0,3,8,1,0,0,0","4,0,0,0,0,0,0,6,9,0,0,0,0,0,4,0,1,0,0,9,1,8,0,3,2,0,0,7,8,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,4,0,0,1,0,2,0,0,0,0,0"
17/10/21,"9,3,2,5,0,0,0,6,0,0,1,0,2,8,0,0,0,7,5,8,0,3,0,6,0,0,2,0,0,4,0,9,0,2,0,0,2,0,0,0,0,5,4,0,1,1,6,0,8,0,4,3,0,9,3,0,0,0,7,1,0,4,0,6,5,9,0,0,0,0,1,0,0,0,0,0,5,0,9,2,0","0,4,0,0,0,6,0,1,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,8,9,0,6,5,2,0,0,3,0,0,0,4,7,0,0,0,0,0,0,0,8,8,0,0,2,0,0,1,0,0,0,0,9,7,0,4,0,5,0,0,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,8,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,3,0,0,5,9,0,8,0,0,0,0,1,0,2,0,9,0,0,8,0,0,0,0,0,4,9,0,0,7,0,0,0,0,0,0,2,0,4,0,3,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,8,2,0,0,9,5,6,0,0"
18/10/21,"0,5,0,0,9,7,4,0,2,2,0,7,0,0,4,8,0,0,0,0,4,2,8,5,0,9,7,9,0,0,1,0,2,0,7,0,3,4,2,5,0,0,9,0,0,0,0,0,8,0,0,0,6,4,0,1,5,0,0,0,7,4,0,0,3,0,0,6,8,0,0,5,7,0,8,0,5,0,0,0,0","5,0,0,0,3,1,0,0,2,2,7,0,0,0,0,0,0,9,4,0,0,8,0,0,0,0,0,7,0,0,5,0,2,0,8,0,9,0,3,0,0,0,2,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,8,0,0,0,6,0,0,0","0,0,0,0,4,0,8,0,0,0,0,6,0,0,2,0,0,4,4,0,0,0,0,6,0,7,2,0,3,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,4,0,0,2,0,5,0,6,8,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,5,0,0,0,0,0,0,7"
19/10/21,"8,3,0,0,7,0,0,0,6,0,0,9,3,0,1,5,0,2,2,0,6,0,0,0,9,3,0,6,0,2,0,8,0,0,1,5,0,0,0,0,5,0,6,2,9,1,0,3,0,0,9,8,0,0,0,7,0,0,0,0,2,5,1,0,2,0,5,3,0,0,6,0,0,6,0,2,1,0,0,9,0","0,0,0,0,0,0,0,0,3,5,0,0,0,7,4,0,1,8,0,0,1,0,8,9,0,2,0,0,0,0,0,5,0,0,8,0,4,0,0,0,0,0,9,7,5,0,0,0,0,0,1,0,0,0,7,0,0,2,1,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,5,0,0,3,0,0,0","0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,5,9,0,0,2,0,0,9,0,0,3,7,1,0,9,0,0,4,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,7,0,0,7,5,0,0,0,8,3,0,0,0,0,4,0,0,6,0,0,0,0,0,1,2,7,0,0,0,0"
20/10/21,"5,2,3,0,0,9,0,7,1,1,0,0,0,0,3,6,5,0,0,0,7,0,5,1,0,3,0,0,0,1,0,8,0,3,0,0,0,0,5,0,7,0,2,8,9,0,4,0,2,3,0,0,0,0,7,9,0,3,0,0,5,0,6,8,0,0,6,9,7,0,0,0,3,0,0,5,0,0,7,9,0","1,8,0,0,9,0,0,3,7,0,0,0,2,0,7,0,0,9,0,0,6,0,0,0,1,0,0,0,0,0,6,0,0,0,7,0,0,0,3,0,0,0,0,0,0,7,4,0,0,5,0,6,0,8,4,1,0,0,3,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,0","0,0,0,6,8,0,0,0,3,1,0,0,0,5,0,0,0,6,0,0,5,2,0,0,0,0,1,0,1,0,0,0,3,6,4,5,0,0,0,0,9,0,3,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,8,1,0,0,0,2,4,0,0,0,0,0,0,8,0"
21/10/21,"9,0,0,0,0,5,7,0,1,2,0,8,9,1,4,0,0,0,1,6,0,0,8,0,0,0,2,0,0,0,5,0,2,9,4,0,0,5,0,1,0,9,3,7,0,6,3,0,0,0,0,2,0,0,0,1,6,0,7,0,0,2,0,8,0,7,0,5,1,0,0,4,0,0,4,8,0,0,0,5,7","0,2,0,0,0,0,6,0,0,7,0,3,0,0,6,8,0,0,0,9,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,7,0,4,9,0,0,0,1,0,0,1,0,0,0,9,0,2,0,0,0,8,0,2,1,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,5","0,0,5,0,0,0,2,3,0,0,0,0,7,0,0,0,1,0,0,0,0,8,6,0,0,0,0,7,6,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,7,0,0,9,0,2,0,0,3,0,0,0,0,5,6,0,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0"
22/10/21,"5,2,8,0,4,0,9,0,0,0,0,3,6,0,8,5,7,0,1,0,0,3,5,9,0,4,0,2,6,0,0,0,4,0,0,7,0,1,4,8,6,0,3,0,0,0,8,0,7,0,0,2,0,4,4,0,7,0,0,3,0,1,0,0,0,0,0,9,6,0,0,3,0,0,0,5,0,0,0,9,8","0,2,0,1,0,3,0,0,0,0,0,0,2,5,0,0,4,8,0,0,1,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,3,6,0,0,2,0,7,0,0,4,0,0,9,0,5,0,0,0,7,0,0,0,0,6,0,2,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0","3,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,9,2,0,3,7,0,0,0,0,0,5,0,0,0,0,6,8,0,0,0,0,4,0,6,0,0,0,8,7,0,0,0,0,0,0,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,9,0,4,0"
23/10/21,"3,9,0,0,5,2,7,0,6,6,0,2,7,0,0,5,0,8,0,8,0,0,0,0,3,2,0,8,5,1,0,0,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0,3,1,7,0,2,0,9,0,3,0,5,0,1,9,0,0,1,0,0,4,9,3,0,0,7,9,4,8,0,0,0,0,3,0","0,1,4,0,0,0,0,0,9,0,0,3,0,4,0,7,0,0,0,0,0,0,0,6,3,0,5,0,5,0,0,0,1,0,0,3,3,0,0,0,5,0,0,2,8,8,0,0,0,6,0,1,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,6,0,0,0,0,0","0,9,0,0,3,0,8,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,0,2,0,0,0,4,0,7,9,3,0,0,0,0,5,0,0,2,0,0,0,0,6,0,9,0,0,0,0,3,0,0,0,0,0,0,9,4,8,0,0,0,0,0,8,0,0,1,0,8,0,7,5,4,0,0,0,0"
24/10/21,"4,2,5,0,8,0,0,9,0,0,0,0,7,9,2,4,5,1,0,9,1,0,0,6,3,0,0,0,0,2,4,0,0,0,0,7,0,0,8,1,0,3,0,0,5,0,6,0,9,2,0,1,0,0,1,0,0,2,5,0,8,7,9,2,0,0,0,0,7,0,3,0,8,0,4,0,0,0,0,0,2","0,0,0,5,0,0,0,0,0,2,1,6,8,0,0,0,3,0,0,0,0,0,0,0,8,0,0,4,0,2,0,7,0,0,0,0,0,0,3,0,0,1,0,0,7,5,0,0,6,4,0,9,0,0,0,0,0,0,2,0,7,5,0,3,9,7,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0","0,0,0,0,7,0,0,5,0,0,0,8,2,0,6,0,1,0,0,1,0,0,0,0,4,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,2,8,0,0,3,8,0,0,0,0,0,0,0,0,0,5,2,6,0,0,1,9,0,0,0,0,4,9,0,0,0,6"
25/10/21,"7,0,2,6,4,0,0,9,0,3,8,4,9,0,0,7,0,0,0,0,0,0,7,0,2,4,5,2,0,5,0,0,3,0,7,0,0,0,0,7,6,9,0,0,8,9,0,8,0,0,5,0,0,6,0,4,0,1,0,6,3,0,0,8,9,0,0,2,0,0,0,7,0,2,6,8,0,0,0,5,0","0,0,6,0,5,0,2,1,0,0,0,4,0,8,0,0,0,7,5,0,0,2,7,4,0,0,0,0,0,0,1,0,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,6,0,0,0,1,3,0,0,0,0,0,5,0,0,7,0,9,0,0,0,0,4,0,0,0,0,0","6,0,0,0,4,3,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,4,1,0,0,2,0,7,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,7,4,0,0,3,0,0,0,0,8,0,0,0,0,0,5,0,1,0,0,0,0,0"
26/10/21,"0,6,0,9,2,1,0,0,0,5,3,9,8,0,0,0,1,2,2,4,0,0,6,0,8,0,0,8,2,0,0,0,4,0,3,9,0,0,3,1,0,8,0,0,4,0,0,0,2,0,0,7,5,0,0,5,0,0,9,0,4,0,3,0,0,4,5,0,2,0,7,0,6,0,7,0,8,0,5,0,0","0,0,0,0,0,2,0,9,0,0,0,1,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,8,0,0,0,4,0,5,0,0,0,9,0,0,0,0,0,5,0,1,0,9,0,0,0,0,1,0,0,0,7,0,8,0,0,3,0,0,5,8,0,6,0,7,0,0,0","2,5,0,7,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,9,7,0,0,3,1,0,5,0,0,0,0,0,0,0,9,3,0,0,0,0,3,0,0,0,6,0,8,0,0,0,0,7,0,2,6,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,0,0,0,0,1,4,0,2,0,0,0"
27/10/21,"1,8,3,0,0,7,5,0,0,0,4,0,0,0,0,8,0,9,0,0,0,8,6,3,7,0,0,3,0,0,0,8,5,6,0,7,6,0,8,0,0,0,1,4,5,5,0,0,6,7,1,0,0,0,8,0,5,3,2,0,0,0,0,0,3,0,5,0,0,4,2,6,0,1,2,0,0,0,0,5,0","0,0,0,0,0,4,3,0,0,0,7,5,0,9,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,0,2,6,0,0,0,0,0,0,5,0,9,8,5,0,0,0,0,4,6,8,0,0,0,0,4,0,0,1,2,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0","0,0,4,0,0,0,0,0,0,0,1,7,0,0,0,0,0,6,0,5,0,0,7,0,2,8,4,0,0,8,0,9,4,0,5,0,0,0,0,3,0,0,6,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,6,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,1,0,0"
28/10/21,"0,9,2,0,7,0,1,0,0,0,0,7,0,5,0,9,0,4,5,0,1,0,8,0,7,6,0,6,4,0,8,0,0,0,1,0,0,8,0,1,0,4,6,0,9,0,0,9,3,0,0,0,7,8,2,7,6,0,0,0,0,9,0,9,1,8,0,0,2,0,0,0,0,0,0,9,1,0,8,0,7","0,0,6,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,8,0,0,4,0,0,3,2,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,8,0,0,0,9,0,0,1,0,0,5,0,0,2,0,5,9,0,0,0,9,0,0,0,2,0,1,0,0,3,7,0,0,4,0,0,5,0","0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,1,0,0,0,0,1,2,5,8,0,0,6,2,4,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,0,0,2,6,7,0,5,0,3,0,8,0,7,0,0,4,4,0,2,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0"
29/10/21,"1,3,4,0,5,0,0,0,9,0,9,0,0,0,2,8,6,3,0,0,8,9,7,0,5,0,0,5,8,0,3,0,0,1,4,6,3,4,0,8,0,0,0,0,5,0,6,0,4,1,0,0,8,0,2,0,3,0,0,6,0,7,0,0,0,9,0,0,4,0,5,0,4,0,0,0,0,1,9,0,0","7,5,0,0,0,0,0,6,2,0,0,0,0,8,0,0,5,1,3,0,0,4,0,0,0,0,0,0,1,0,0,2,3,8,0,9,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,4,0,8,0,0,2,0,0,0,0,0,5,0,0,0,0,8","0,0,0,0,0,0,4,9,0,0,0,4,0,0,0,1,0,0,7,0,0,0,5,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,7,1,8,0,0,0,0,7,3,2,0,0,0,0,5,0,0,2,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,3,9,5,0,0"
30/10/21,"0,1,0,0,2,0,8,3,0,0,2,4,0,5,9,7,0,0,0,5,6,7,1,0,0,0,0,5,8,3,2,0,0,0,6,0,0,0,7,6,8,0,3,0,4,0,0,0,5,7,0,0,8,2,0,0,0,9,0,2,6,0,8,4,0,8,0,0,5,0,0,0,9,6,0,0,0,7,0,0,1","0,0,5,0,0,0,8,0,1,4,0,0,0,5,0,0,2,0,0,9,0,0,0,0,0,5,0,0,5,6,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,8,0,4,9,0,7,2,0,0,0,8,6,0,0,0,0,0,0,7,6,9,0,0,8,0,0,0,1,0,0,0,0","0,1,0,0,0,0,0,5,7,0,2,0,0,0,0,4,0,0,9,0,5,0,1,2,0,0,8,0,0,0,0,0,6,0,0,0,0,0,7,0,0,8,0,0,3,4,0,0,0,0,5,6,0,0,3,0,6,0,0,9,0,4,0,0,8,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0"
31/10/21,"0,7,0,3,6,9,5,0,0,2,0,6,5,0,0,0,0,7,0,0,0,2,0,0,1,6,3,0,8,0,0,2,5,0,1,0,0,2,5,7,9,0,0,0,0,7,6,4,0,0,0,2,5,0,4,1,7,0,5,0,0,0,8,0,5,0,6,0,8,9,0,0,0,0,8,0,0,3,4,0,0","0,0,0,0,0,0,4,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,6,9,0,3,0,0,0,2,0,8,0,0,0,0,0,1,7,0,3,0,0,0,0,0,4,3,0,0,0,0,8,5,0,0,0,0,2,0,9,7,0,0,0,0,7,0,0,0,0,8,6,0","0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,4,0,5,0,0,0,1,9,0,0,0,0,8,6,0,0,1,9,0,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,5,0,0,3,0,0,0,0,4,0,0,1,0,4,0,3,0,0,0,0,8,7,0,0,0,0,0,0"
01/11/21,"8,2,3,0,7,9,0,4,0,0,7,6,3,0,4,0,0,1,0,0,1,2,6,0,7,0,9,0,0,0,5,4,0,2,0,8,4,0,0,0,0,0,1,7,0,1,6,2,0,0,0,9,0,4,0,0,0,7,2,3,0,0,0,0,5,0,9,0,0,0,8,0,7,0,9,0,0,0,6,1,0","3,0,0,6,0,0,2,7,4,6,7,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,3,0,0,7,0,0,0,1,0,4,0,0,0,1,5,0,0,0,0,0,0,0,5,7,0,2,0,0,0,0,4,8,0,0,0","0,2,8,0,0,1,0,4,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,5,8,0,0,0,0,0,0,0,4,0,7,0,9,0,0,0,0,0,6,3,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,7,2,6,0,0,0,1,6,0,0,0,0,7"
02/11/21,"7,6,0,0,0,2,1,0,3,0,0,0,0,0,1,8,0,0,2,0,5,3,0,0,4,0,7,0,7,1,0,2,0,5,0,0,0,2,0,9,0,5,3,0,0,5,0,0,1,3,0,0,2,6,0,0,7,0,6,0,0,4,5,4,0,0,5,0,0,6,7,8,6,5,9,0,4,0,0,0,0","5,0,0,1,0,0,4,0,7,0,0,0,0,8,2,0,0,0,9,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,5,0,4,0,0,0,9,3,0,0,0,6,0,0,0,3,0,1,0,0,0,0,5,0,0,4,0,0,0,0,0,7,0,0,6,0,0,0,2","0,0,5,3,0,0,0,2,1,0,0,0,0,4,0,0,5,0,0,4,0,0,0,6,0,0,3,0,0,0,0,7,0,0,0,9,1,0,6,0,0,0,3,0,8,0,7,0,0,0,1,0,0,0,5,0,0,0,0,4,1,0,0,0,3,0,0,9,0,0,0,5,0,0,0,0,0,0,0,6,0"
03/11/21,"5,0,0,0,8,3,7,6,9,0,9,3,0,0,0,1,0,0,0,1,0,5,0,4,0,0,3,0,0,2,3,5,8,0,0,7,0,7,0,0,2,0,0,5,8,9,5,8,0,0,7,0,3,0,2,0,0,4,0,0,0,7,6,4,0,9,0,0,0,5,0,0,7,0,0,2,1,0,3,0,0","0,9,0,5,0,0,0,0,0,0,6,0,0,0,3,4,0,0,4,0,0,0,7,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,2,0,6,0,0,4,1,0,0,3,0,0,8,0,5,0,0,0,0,0,4,0,0,0,8,0,9,0,0,0","0,0,7,0,0,0,9,0,0,0,0,0,0,2,0,0,8,0,0,5,0,6,0,0,0,7,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,3,0,9,0,0,0,0,0,1,9,4,0,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,8,5,0,2,0,0,0,0,0,0,0,0"
04/11/21,"6,9,0,4,0,0,1,2,0,4,0,5,2,1,0,8,0,0,0,0,3,0,8,7,0,4,6,0,3,0,8,0,1,2,7,0,0,8,0,5,2,0,4,3,1,0,2,0,3,0,4,0,8,0,3,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,1,2,9,0,0,0,5,2,0,0,0","0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,0,0,0,8,0,0,0,7,0,6,9,5,6,0,0,0,2,4,5,0,0,4,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,9,0,5,0,6,1,4,2,0","0,0,0,0,8,0,2,0,1,0,8,0,0,0,0,0,0,0,0,9,0,0,0,1,0,8,0,0,0,7,0,9,0,4,0,0,1,0,0,7,0,0,0,0,0,9,0,0,0,0,6,0,3,7,0,0,0,5,7,0,0,0,0,0,2,0,0,0,9,1,5,0,6,0,0,0,0,3,0,0,9"
05/11/21,"8,5,3,0,1,4,0,0,0,1,0,0,0,0,6,4,0,7,4,0,0,2,8,0,0,0,5,3,1,0,0,6,0,5,2,0,0,2,5,0,0,1,3,7,4,0,4,0,3,0,5,0,0,1,0,0,0,9,5,3,0,4,0,7,0,9,1,0,0,6,0,0,0,8,0,0,0,0,0,1,0","0,0,0,8,5,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,1,0,0,9,2,7,3,0,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,5,0,7,0,0,9,1,2,0,0,0,0,0,0,0","0,0,0,3,0,0,0,6,0,0,4,5,0,0,0,0,0,8,0,2,0,0,0,9,0,0,7,7,0,8,0,6,0,0,5,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,6,0,0,1,0,0,4,0,5,1,0,4,0,0,3,0"
